bg_w,window,lead,n_valid,gate_pass_rate,skill_improved_rate,physics_worse_rate,state_large_rate,mean_delta_rmse,worst_delta_rmse,max_lead_diag_delta,max_residual,residual_clean,window_precondition_met
0.2000,60,240,4,0.5000,0.5000,0.0000,0.0000,0.0010,0.0193,0.0000,0.0000,True,False
0.0500,120,480,4,0.5000,0.5000,0.0000,0.0000,0.0244,0.1182,0.0000,0.0000,True,False
0.0100,60,480,4,0.5000,0.5000,0.0000,0.5000,0.0282,0.1547,0.0000,0.0000,True,False
0.0100,120,480,4,0.5000,0.5000,0.0000,0.2500,0.0445,0.1998,0.0000,0.0000,True,False
0.2000,60,480,4,0.5000,0.7500,0.2500,0.0000,0.0018,0.0303,0.0021,0.0000,True,False
0.0500,60,240,4,0.2500,0.2500,0.0000,0.0000,0.0198,0.0801,0.0000,0.0000,True,False
0.2000,120,240,4,0.2500,0.2500,0.0000,0.0000,0.0256,0.0802,0.0000,0.0000,True,False
0.0500,120,240,4,0.2500,0.2500,0.0000,0.0000,0.0661,0.1923,0.0000,0.0000,True,False
0.2000,120,480,4,0.2500,0.5000,0.2500,0.0000,0.0088,0.0462,0.0021,0.0000,True,False
0.0500,60,480,4,0.2500,0.5000,0.2500,0.0000,0.0125,0.0909,0.0021,0.0000,True,False
0.0100,60,240,4,0.0000,0.0000,0.0000,0.5000,0.0553,0.1496,0.0000,0.0000,True,False
0.0100,120,240,4,0.0000,0.0000,0.0000,0.2500,0.1176,0.3109,0.0000,0.0000,True,False
