bg_w,window,lead,n_valid,wins,win_rate,mean_delta,worst_delta,mean_da_rmse,mean_bg_rmse,max_dx_l2,max_degradation_da
0.01,60,480,4,3,0.75,-0.0024469264933316137,0.15478074938987896,0.4400660096427283,0.4425129361360599,2.7219123230213333,4.902758243291053
0.2,60,480,4,3,0.75,-0.001083361520187967,0.03035146912097153,0.4414295746158719,0.4425129361360599,0.7120744047928111,1.4747919946641788
0.05,60,480,4,3,0.75,0.001067587226982518,0.09096380869159049,0.44358052336304243,0.4425129361360599,1.6245447819510739,1.8367734014836665
0.2,120,480,4,2,0.5,0.00861875929632145,0.046200207292448,0.5930814998824108,0.5844627405860893,0.6410845446617339,2.892655228107679
0.2,60,240,4,2,0.5,0.010009473345931642,0.0405589871216564,0.34993639197777154,0.3399269186318399,0.769316032916358,1.504847312929088
0.2,120,240,4,2,0.5,0.016244948613607445,0.08022737322655626,0.37571776949473035,0.3594728208811229,0.6410845446617339,2.592244958110011
0.05,120,480,4,2,0.5,0.02380360443614079,0.11826538169197154,0.6082663450222301,0.5844627405860893,1.526533945186483,3.498895738602783
0.05,120,240,4,2,0.5,0.03867739895046222,0.19232506763638835,0.39815021983158516,0.3594728208811229,1.526533945186483,2.76611850322146
0.01,120,480,4,2,0.5,0.043508707251175095,0.19984066529844724,0.6279714478372644,0.5844627405860893,2.758562492874757,6.116135365904524
0.05,60,240,4,2,0.5,0.0447196701490284,0.12151224343284772,0.3846465887808683,0.3399269186318399,1.6245447819510739,2.7307857760675818
0.01,120,240,4,2,0.5,0.05941493817620753,0.3108521700601543,0.41888775905733044,0.3594728208811229,2.758562492874757,6.411221024334602
0.01,60,240,4,1,0.25,0.08909734540717729,0.1996732475342443,0.42902426403901717,0.3399269186318399,2.7219123230213333,7.430206134138294
